 #           1 : d2S/dy_jj dm_jj (fb/GeV)	 #           1 : d2S/dy_jj dm_jj (fb/GeV)
4.00000 4.50000 50.0000 100.000 0.0 0.0	4.00000 4.50000 50.0000 100.000 0.0 0.0
4.00000 4.50000 100.000 150.000 0.0 0.0	4.00000 4.50000 100.000 150.000 0.0 0.0
4.00000 4.50000 150.000 200.000 0.0 0.0	4.00000 4.50000 150.000 200.000 0.0 0.0
4.00000 4.50000 200.000 250.000 4.0312354330708667e-07 5.086250523446541e-09	4.00000 4.50000 200.000 250.000 1.83497565625e-09 1.2627076329816175e-10
4.00000 4.50000 250.000 300.000 9.932870236220474e-06 2.9003674101997916e-08	4.00000 4.50000 250.000 300.000 2.37674625e-08 4.023062864240243e-10
4.00000 4.50000 300.000 350.000 3.71109125984252e-05 5.7704513419482446e-08	4.00000 4.50000 300.000 350.000 5.2230825e-08 5.740110669709912e-10
4.00000 4.50000 350.000 400.000 7.819941968503938e-05 9.643710620974679e-08	4.00000 4.50000 350.000 400.000 7.187430625e-08 6.770902534205824e-10
4.00000 4.50000 400.000 450.000 0.00012869059842519684 1.2001159222308958e-07	4.00000 4.50000 400.000 450.000 8.113616875000001e-08 7.310212667265196e-10
4.00000 4.50000 450.000 500.000 0.00018309416535433067 1.3297096886394986e-07	4.00000 4.50000 450.000 500.000 8.211536875e-08 7.230297221152197e-10
4.00000 4.50000 500.000 550.000 0.00023507803937007879 1.448684458837894e-07	4.00000 4.50000 500.000 550.000 8.210645625000003e-08 7.445489215720231e-10
4.00000 4.50000 550.000 600.000 0.00028090311023622037 1.529717619293342e-07	4.00000 4.50000 550.000 600.000 7.646352187499999e-08 7.702723281526319e-10
4.00000 4.50000 600.000 650.000 0.00031898081102362186 1.5962064935592136e-07	4.00000 4.50000 600.000 650.000 7.0425128125e-08 7.623489669391335e-10
4.00000 4.50000 650.000 700.000 0.00034823374015748054 1.6432101270461073e-07	4.00000 4.50000 650.000 700.000 6.351695624999999e-08 7.066222632169384e-10
4.00000 4.50000 700.000 750.000 0.0003686871023622046 1.7313735364958208e-07	4.00000 4.50000 700.000 750.000 5.5809550000000004e-08 6.637636379811393e-10
